SKU;Nome;Categoria;Operação;Montável;Quantidade;Valor_Unitario;Subtotal;Descontos;Valor_Total
11487BJ;Brooklyn;BURGUERS;Zig Card;VERDADEIRO;28;42,71;1196,00;66,00;1130,00
13;Do Carlinhos;Z- ANTIGOS;Zig Card;VERDADEIRO;138;33,87;4674,00;38,40;4635,60
k;Margarita;CLÁSSICOS;Zig Card;FALSO;143;44,00;6292,00;675,40;5616,60
11487A6;Fervo - Solteiros;Z-AUTORAIS ANTIGOS ;Zig Card;FALSO;5;42,00;210,00;0,00;210,00
A0;Maktub Malbec - Tinto;VINHOS;Zig Card;FALSO;7;110,00;770,00;0,00;770,00
A0;Maktub Malbec - Tinto;VINHOS;Zig Card;FALSO;4;115,00;460,00;34,50;425,50
2E;Guaraná;SOFTS;Zig Card;VERDADEIRO;273;10,17;2776,00;170,80;2605,20
2E;Guaraná;SOFTS;Zig Card;VERDADEIRO;9;10,00;90,00;0,00;90,00
11487BK;Combo - Leblon;BURGUERS;Zig Card;VERDADEIRO;121;59,42;7190,00;171,20;7018,80
11487An;Pé de Moleque - Guest 50/25;Z-AUTORAIS ANTIGOS ;Zig Card;FALSO;3;42,00;126,00;0,00;126,00
114879o;Tempestade em Taça - Áries;VEDÊ SIGNOS;Zig Card;FALSO;338;40,00;13520,00;8,00;13512,00
J;Whiskey Smash;Y- OUTROS CLÁSSICOS ;Zig Card;FALSO;120;34,00;4080,00;153,00;3927,00
J;Whiskey Smash;Y- OUTROS CLÁSSICOS ;Zig Card;FALSO;108;36,00;3888,00;57,60;3830,40
9J;Iara;VEDÊ + RED BULL;Zig Card;FALSO;75;44,00;3300,00;50,60;3249,40
1a;Heineken 0.0 (LN);CERVEJAS;Zig Card;FALSO;363;16,00;5808,00;57,60;5750,40
1a;Heineken 0.0 (LN);CERVEJAS;Zig Card;FALSO;2;18,00;36,00;0,00;36,00
AA;Combo ballantines;Garrafas;Zig Card;FALSO;1;420,00;420,00;0,00;420,00
114879s;Penélope Charmosa - Libra;VEDÊ SIGNOS;Zig Card;FALSO;52;42,00;2184,00;0,00;2184,00
7N;Churros com Doce de Leite;SOBREMESAS;Zig Card;VERDADEIRO;148;26,00;3848,00;369,20;3478,80
1n;Água Tônica Zero;SOFTS;Zig Card;VERDADEIRO;54;10,00;540,00;0,00;540,00
97;Cosmopolitan;CLÁSSICOS;Zig Card;FALSO;96;36,00;3456,00;151,20;3304,80
97;Cosmopolitan;CLÁSSICOS;Zig Card;FALSO;352;40,00;14080,00;616,00;13464,00
7P;Dogão de Choripam com Queijo Canastra;Z-COMIDAS ANTIGAS;Zig Card;VERDADEIRO;151;46,46;7016,00;149,10;6866,90
23;Croquete da Sonic;Z-COMIDAS ANTIGAS;Zig Card;VERDADEIRO;105;46,03;4833,50;102,25;4731,25
AC;Combo smirnoff;Combos;Zig Card;FALSO;6;380,00;2280,00;114,00;2166,00
AC;Combo smirnoff;Combos;Zig Card;FALSO;2;400,00;800,00;0,00;800,00
M;Americano;Y- OUTROS CLÁSSICOS ;Zig Card;FALSO;11;34,00;374,00;0,00;374,00
1t;Sucos;SOFTS;Zig Card;VERDADEIRO;438;16,00;7008,00;30,40;6977,60
A6;ESTRELLA GALÍCIA;CERVEJAS;Zig Card;FALSO;407;14,00;5698,00;29,40;5668,60
A6;ESTRELLA GALÍCIA;CERVEJAS;Zig Card;FALSO;306;15,00;4590,00;9,00;4581,00
A6;ESTRELLA GALÍCIA;CERVEJAS;Zig Card;FALSO;5;18,00;90,00;0,00;90,00
H;Negroni;CLÁSSICOS;Zig Card;FALSO;421;36,00;15156,00;642,60;14513,40
H;Negroni;CLÁSSICOS;Zig Card;FALSO;2;40,00;80,00;0,00;80,00
11487Bk;Maktub Branco;VINHOS;Zig Card;FALSO;4;110,00;440,00;0,00;440,00
f;Hanky Panky;Y- OUTROS CLÁSSICOS ;Zig Card;FALSO;9;38,00;342,00;0,00;342,00
98;Sugestão 2;Y- OUTROS CLÁSSICOS ;Zig Card;FALSO;26;42,00;1092,00;111,30;980,70
98;Sugestão 2;Y- OUTROS CLÁSSICOS ;Zig Card;FALSO;6;46,00;276,00;13,80;262,20
11487BI;Leblon;BURGUERS;Zig Card;VERDADEIRO;107;41,08;4396,00;71,80;4324,20
7Y;Bruschetta Caprese (1/2);Z-COMIDAS ANTIGAS;Zig Card;VERDADEIRO;95;35,22;3346,00;6,80;3339,20
11487BS;Ipanema;BURGUERS;Zig Card;FALSO;5;42,00;210,00;25,20;184,80
1E;Campari - Dose;DOSES;Zig Card;FALSO;1;36,00;36,00;0,00;36,00
1E;Campari - Dose;DOSES;Zig Card;FALSO;10;20,00;200,00;0,00;200,00
1E;Campari - Dose;DOSES;Zig Card;FALSO;46;24,00;1104,00;7,20;1096,80
114879K;Chocogin;Z-AUTORAIS ANTIGOS ;Zig Card;FALSO;67;38,00;2546,00;0,00;2546,00
11487Bb;Fireball - Garrafa;Garrafas;Zig Card;FALSO;1;300,00;300,00;0,00;300,00
1B;Cachaça - Dose;DOSES;Zig Card;VERDADEIRO;90;25,57;2301,00;9,00;2292,00
n;Mint Julep;Y- OUTROS CLÁSSICOS ;Zig Card;FALSO;10;36,00;360,00;36,00;324,00
D;Fitzgerald Vedê;CLÁSSICOS;Zig Card;FALSO;858;38,00;32604,00;2413,00;30191,00
